"","Site.recode","Site.Description","Histology","Histology.Description","Histology.Behavior","Histology.Behavior.Description","Histology.Behavior.Four"
"8611","C692","RETINA",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/3","Cribriform carcinoma","8201"
"8612","C692","RETINA",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"8613","C692","RETINA",829,"OXYPHILIC ADENOCARCINOMA","8290/3","Oxyphilic adenocarcinoma","8290"
"8614","C692","RETINA",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"8615","C692","RETINA",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"8616","C692","RETINA",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"8617","C692","RETINA",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"8618","C692","RETINA",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"8619","C692","RETINA",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"8620","C692","RETINA",873,"AMELANOTIC MELANOMA","8730/3","Amelanotic melanoma","8730"
"8621","C692","RETINA",874,"MAL. MEL. IN JUNCT. NEVUS","8743/3","Superficial spreading melanoma","8743"
"8622","C692","RETINA",874,"MAL. MEL. IN JUNCT. NEVUS","8745/3","Desmoplastic melanoma, malignant","8745"
"8623","C692","RETINA",874,"MAL. MEL. IN JUNCT. NEVUS","8746/3","Mucosal lentiginous melanoma","8746"
"8624","C692","RETINA",877,"EPITHELIOID CELL MELANOMA","8770/3","Mixed epithel. & spindle cell melanoma","8770"
"8625","C692","RETINA",877,"EPITHELIOID CELL MELANOMA","8771/3","Epithelioid cell melanoma","8771"
"8626","C692","RETINA",877,"EPITHELIOID CELL MELANOMA","8772/3","Spindle cell melanoma, NOS","8772"
"8627","C692","RETINA",881,"FIBROMATOUS NEOPLASMS","8810/3","Fibrosarcoma, NOS","8810"
"8628","C692","RETINA",881,"FIBROMATOUS NEOPLASMS","8811/3","Fibromyxosarcoma","8811"
"8629","C692","RETINA",881,"FIBROMATOUS NEOPLASMS","8813/3","Fascial fibrosarcoma","8813"
"8630","C692","RETINA",881,"FIBROMATOUS NEOPLASMS","8814/3","Infantile fibrosarcoma","8814"
"8631","C692","RETINA",881,"FIBROMATOUS NEOPLASMS","8815/3","Solitary fibrous tumor, malignant","8815"
"8632","C692","RETINA",889,"MYOMATOUS NEOPLASMS","8890/3","Leiomyosarcoma, NOS","8890"
"8633","C692","RETINA",889,"MYOMATOUS NEOPLASMS","8891/3","Epithelioid leiomyosarcoma","8891"
"8634","C692","RETINA",889,"MYOMATOUS NEOPLASMS","8894/3","Angiomyosarcoma","8894"
"8635","C692","RETINA",889,"MYOMATOUS NEOPLASMS","8895/3","Myosarcoma","8895"
"8636","C692","RETINA",889,"MYOMATOUS NEOPLASMS","8896/3","Myxoid leiomyosarcoma","8896"
"8637","C692","RETINA",890,"RHABDOMYOSARCOMA, NOS","8900/3","Rhabdomyosarcoma, NOS","8900"
"8638","C692","RETINA",890,"RHABDOMYOSARCOMA, NOS","8901/3","Pleomorphic rhabdomyosarcoma, adult type","8901"
"8639","C692","RETINA",890,"RHABDOMYOSARCOMA, NOS","8902/3","Mixed type rhabdomyosarcoma","8902"
"8640","C692","RETINA",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"8641","C692","RETINA",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"8642","C692","RETINA",892,"ALVEOLAR RHABDOMYOSARCOMA","8920/3","Alveolar rhabdomyosarcoma","8920"
"8643","C692","RETINA",892,"ALVEOLAR RHABDOMYOSARCOMA","8921/3","Rhabdomyosarcoma with ganglionic differentiation","8921"
"8644","C692","RETINA",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"8645","C692","RETINA",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"8646","C692","RETINA",899,"MESENCHYMOMA, MALIGNANT","8990/3","Mesenchymoma, malignant","8990"
"8647","C692","RETINA",899,"MESENCHYMOMA, MALIGNANT","8991/3","Embryonal sarcoma","8991"
"8648","C692","RETINA",915,"HEMANGIOPERICYTOMA","9150/3","Hemangiopericytoma, malignant","9150"
"8649","C692","RETINA",951,"RETINOBLASTOMA, NOS","9510/3","Retinoblastoma, NOS","9510"
"8650","C692","RETINA",951,"RETINOBLASTOMA, NOS","9511/3","Retinoblastoma, differentiated","9511"
"8651","C692","RETINA",951,"RETINOBLASTOMA, NOS","9512/3","Retinoblastoma, undifferentiated","9512"
"8652","C692","RETINA",951,"RETINOBLASTOMA, NOS","9513/3","Retinoblastoma, diffuse","9513"
"8653","C692","RETINA",959,"MALIGNANT LYMPHOMA, NOS","9590/3","Malignant lymphoma, NOS","9590"
"8654","C692","RETINA",959,"MALIGNANT LYMPHOMA, NOS","9591/3","Malignant lymphoma, non-Hodgkin","9591"
"8655","C692","RETINA",959,"MALIGNANT LYMPHOMA, NOS","9596/3","Composite Hodgkin and non-Hodgkin lymphoma","9596"
"8656","C692","RETINA",965,"HODGKIN LYMPHOMA","9650/3","Hodgkin lymphoma, NOS","9650"
"8657","C692","RETINA",965,"HODGKIN LYMPHOMA","9651/3","Hodgkin lymphoma, lymphocyte-rich","9651"
"8658","C692","RETINA",965,"HODGKIN LYMPHOMA","9652/3","Hodgkin lymphoma, mixed cellularity, NOS","9652"
"8659","C692","RETINA",965,"HODGKIN LYMPHOMA","9653/3","Hodgkin lymphoma, lymphocytic deplet., NOS","9653"
"8660","C692","RETINA",965,"HODGKIN LYMPHOMA","9654/3","Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis","9654"
"8661","C692","RETINA",965,"HODGKIN LYMPHOMA","9655/3","Hodgkin lymphoma, lymphocyt. deplet., reticular","9655"
"8662","C692","RETINA",965,"HODGKIN LYMPHOMA","9659/3","Hodgkin lymph., nodular lymphocyte predom.","9659"
"8663","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9661/3","Hodgkin granuloma [obs]","9661"
"8664","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9662/3","Hodgkin sarcoma [obs]","9662"
"8665","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","9663"
"8666","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9664/3","Hodgkin lymphoma, nod. scler., cellular phase","9664"
"8667","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9665/3","Hodgkin lymphoma, nod. scler., grade 1","9665"
"8668","C692","RETINA",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9667/3","Hodgkin lymphoma, nod. scler., grade 2","9667"
"8669","C692","RETINA",967,"ML, SMALL B-CELL LYMPHOCYTIC","9670/3","ML, small B lymphocytic, NOS","9670"
"8670","C692","RETINA",967,"ML, SMALL B-CELL LYMPHOCYTIC","9671/3","ML, lymphoplasmacytic","9671"
"8671","C692","RETINA",967,"ML, SMALL B-CELL LYMPHOCYTIC","9673/3","Mantle cell lymphoma","9673"
"8672","C692","RETINA",967,"ML, SMALL B-CELL LYMPHOCYTIC","9675/3","ML, mixed sm. and lg. cell, diffuse","9675"
"8673","C692","RETINA",968,"ML, LARGE B-CELL, DIFFUSE","9680/3","ML, large B-cell, diffuse","9680"
"8674","C692","RETINA",968,"ML, LARGE B-CELL, DIFFUSE","9684/3","ML, large B-cell, diffuse, immunoblastic, NOS","9684"
"8675","C692","RETINA",968,"ML, LARGE B-CELL, DIFFUSE","9687/3","Burkitt lymphoma, NOS","9687"
"8676","C692","RETINA",968,"ML, LARGE B-CELL, DIFFUSE","9688/3","T-cell histiocyte rich large B-cell lymphoma","9688"
"8677","C692","RETINA",969,"FOLLIC. & MARGINAL LYMPH, NOS","9690/3","Follicular lymphoma, NOS","9690"
"8678","C692","RETINA",969,"FOLLIC. & MARGINAL LYMPH, NOS","9691/3","Follicular lymphoma, grade 2","9691"
"8679","C692","RETINA",969,"FOLLIC. & MARGINAL LYMPH, NOS","9695/3","Follicular lymphoma, grade 1","9695"
"8680","C692","RETINA",969,"FOLLIC. & MARGINAL LYMPH, NOS","9698/3","Follicular lymphoma, grade 3","9698"
"8681","C692","RETINA",969,"FOLLIC. & MARGINAL LYMPH, NOS","9699/3","Marginal zone B-cell lymphoma, NOS","9699"
"8682","C692","RETINA",970,"T-CELL LYMPHOMAS","9701/3","Sezary syndrome","9701"
"8683","C692","RETINA",970,"T-CELL LYMPHOMAS","9702/3","Mature T-cell lymphoma, NOS","9702"
"8684","C692","RETINA",970,"T-CELL LYMPHOMAS","9705/3","Angioimmunoblastic T-cell lymphoma","9705"
"8685","C692","RETINA",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9712/3","Intravascular large B-cell lymphoma","9712"
"8686","C692","RETINA",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9714/3","Anaplastic large cell lymphoma, T-cell and Null cell type","9714"
"8687","C692","RETINA",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9719/3","NK/T-cell lymphoma, nasal and nasal-type","9719"
"8688","C692","RETINA",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9724/3","SystemicEBV pos. T-cell lymphoproliferative disease of childhood","9724"
"8689","C692","RETINA",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9727/3","Precursor cell lymphoblastic lymphoma, NOS","9727"
"8690","C692","RETINA",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9728/3","Precursor B-cell lymphoblastic lymphoma","9728"
"8691","C692","RETINA",972,"PRECURS. CELL LYMPHOBLASTIC LYMPH.","9729/3","Precursor T-cell lymphoblastic lymphoma","9729"
"8692","C692","RETINA",973,"PLASMA CELL TUMORS","9731/3","Plasmacytoma, NOS","9731"
"8693","C692","RETINA",973,"PLASMA CELL TUMORS","9734/3","Plasmacytoma, extramedullary","9734"
"8694","C692","RETINA",973,"PLASMA CELL TUMORS","9735/3","Plasmablastic lymphoma","9735"
"8695","C692","RETINA",973,"PLASMA CELL TUMORS","9737/3","ALK positive large B-cell lymphoma","9737"
"8696","C692","RETINA",973,"PLASMA CELL TUMORS","9738/3","Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ","9738"
"8697","C692","RETINA",974,"MAST CELL TUMORS","9740/3","Mast cell sarcoma","9740"
"8698","C692","RETINA",974,"MAST CELL TUMORS","9741/3","Malignant mastocytosis","9741"
"8699","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9750/3","Malignant histiocytosis","9750"
"8700","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9751/3","Langerhans cell histiocytosis, NOS","9751"
"8701","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9754/3","Langerhans cell histiocytosis, disseminated","9754"
"8702","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9755/3","Histiocytic sarcoma","9755"
"8703","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9756/3","Langerhans cell sarcoma","9756"
"8704","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9757/3","Interdigitating dendritic cell sarcoma","9757"
"8705","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9758/3","Follicular dendritic cell sarcoma","9758"
"8706","C692","RETINA",975,"NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS","9759/3","Fibroblastic reticular cell tumor","9759"
"8707","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9811/3","B lymphoblastic leukemia/lymphoma, NOS","9811"
"8708","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9812/3","Leukemia/lymphoma with t(9;22)(q34;q11.2);BCR-ABL1","9812"
"8709","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9813/3","Leukemia/lymphoma with t(v;11q23);MLL rearranged","9813"
"8710","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9814/3","Leukemia/lymphoma with t(12;21)(p13;q22);TEL-AML1(ETV6-RUNX1)","9814"
"8711","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9815/3","B lymphoblastic leukemia/lymphoma with hyperdiploidy","9815"
"8712","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9816/3","Leukemia/lymphoma with hypodiploidy (hypodiploid ALL)","9816"
"8713","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9817/3","B lymphblastic leukemia/lymphoma with t(5;14)(q31;q32);IL3-IGH","9817"
"8714","C692","RETINA",981,"PRECURSOR LYMPHOID NEOPLASMS","9818/3","Leukemia/lymphoma with t(1;19)(q23;p13.3); E2A PBX1 (TCF3 PBX1)","9818"
"8715","C692","RETINA",982,"LYMPHOID LEUKEMIA, NOS","9823/3","Chronic lymphocytic leukemia/small lymphocytic lymphoma","9823"
"8716","C692","RETINA",983,"PROLYMPH/PRECURS LEUKEMIA","9831/3","T-cell large granular lymphocytic leukemia","9831"
"8717","C692","RETINA",983,"PROLYMPH/PRECURS LEUKEMIA","9837/3","T lymphoblastic leukemia/lymphoma","9837"
"8718","C692","RETINA",996,"CHRONIC MYELOPROLIFERATIVE DIS.","9965/3","Myeloid and lymphoid neoplasms with PDGFRB rearrangement","9965"
"8719","C692","RETINA",996,"CHRONIC MYELOPROLIFERATIVE DIS.","9967/3","Myeloid and lymphoid neoplasm with FGFR1 abnormalities","9967"
"8720","C692","RETINA",997,"MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS","9971/3","Polymorphic PTLD","9971"
"8721","C692","RETINA",997,"MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS","9975/3","Myelodysplastic/Myeloproliferative neoplasm, unclassifiable","9975"
"8722","C694","EYEBALL",800,"NEOPLASM","8000/3","Neoplasm, malignant","8000"
"8723","C694","EYEBALL",800,"NEOPLASM","8001/3","Tumor cells, malignant","8001"
"8724","C694","EYEBALL",800,"NEOPLASM","8002/3","Malignant tumor, small cell type","8002"
"8725","C694","EYEBALL",800,"NEOPLASM","8003/3","Malignant tumor, giant cell type","8003"
"8726","C694","EYEBALL",800,"NEOPLASM","8004/3","Malignant tumor, spindle cell type","8004"
"8727","C694","EYEBALL",800,"NEOPLASM","8005/3","Malignant tumor, clear cell type","8005"
"8728","C694","EYEBALL",801,"CARCINOMA, NOS","8010/2","Carcinoma in situ, NOS","8010"
"8729","C694","EYEBALL",801,"CARCINOMA, NOS","8010/3","Carcinoma, NOS","8010"
"8730","C694","EYEBALL",801,"CARCINOMA, NOS","8011/3","Epithelioma, malignant","8011"
"8731","C694","EYEBALL",801,"CARCINOMA, NOS","8012/3","Large cell carcinoma, NOS","8012"
"8732","C694","EYEBALL",801,"CARCINOMA, NOS","8013/3","Large cell neuroendocrine carcinoma","8013"
"8733","C694","EYEBALL",801,"CARCINOMA, NOS","8014/3","Large cell carcinoma with rhabdoid phenotype","8014"
"8734","C694","EYEBALL",801,"CARCINOMA, NOS","8015/3","Glassy cell carcinoma","8015"
"8735","C694","EYEBALL",802,"CARCINOMA, UNDIFF., NOS","8020/3","Carcinoma, undifferentiated type, NOS","8020"
"8736","C694","EYEBALL",802,"CARCINOMA, UNDIFF., NOS","8021/3","Carcinoma, anaplastic type, NOS","8021"
"8737","C694","EYEBALL",802,"CARCINOMA, UNDIFF., NOS","8022/3","Pleomorphic carcinoma","8022"
"8738","C694","EYEBALL",805,"PAPILLARY CARCINOMA, NOS","8050/2","Papillary carcinoma in situ","8050"
"8739","C694","EYEBALL",805,"PAPILLARY CARCINOMA, NOS","8050/3","Papillary carcinoma, NOS","8050"
"8740","C694","EYEBALL",805,"PAPILLARY CARCINOMA, NOS","8051/3","Verrucous carcinoma, NOS","8051"
"8741","C694","EYEBALL",805,"PAPILLARY CARCINOMA, NOS","8052/2","Papillary squamous cell carcinoma, non-invasive","8052"
"8742","C694","EYEBALL",805,"PAPILLARY CARCINOMA, NOS","8052/3","Papillary squamous cell carcinoma","8052"
"8743","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/2","Squamous cell carcinoma in situ, NOS","8070"
"8744","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8070/3","Squamous cell carcinoma, NOS","8070"
"8745","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8071/3","Sq. cell carcinoma, keratinizing, NOS","8071"
"8746","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8072/3","Sq. cell carcinoma, lg. cell, non-ker.","8072"
"8747","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8073/3","Sq. cell carcinoma, sm. cell, non-ker.","8073"
"8748","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8074/3","Sq. cell carcinoma, spindle cell","8074"
"8749","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8075/3","Squamous cell carcinoma, adenoid","8075"
"8750","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/2","Sq. cell carc. in situ with question. stromal invas.","8076"
"8751","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8076/3","Sq. cell carcinoma, micro-invasive","8076"
"8752","C694","EYEBALL",807,"SQUAMOUS CELL CARCINOMA, NOS","8078/3","Squamous cell carcinoma with horn formation","8078"
"8753","C694","EYEBALL",808,"LYMPHOEPITHELIAL CARCINOMA","8081/2","Bowen disease","8081"
"8754","C694","EYEBALL",808,"LYMPHOEPITHELIAL CARCINOMA","8082/3","Lymphoepithelial carcinoma","8082"
"8755","C694","EYEBALL",808,"LYMPHOEPITHELIAL CARCINOMA","8083/3","Basaloid squamous cell carcinoma","8083"
"8756","C694","EYEBALL",808,"LYMPHOEPITHELIAL CARCINOMA","8084/3","Squamous cell carcinoma, clear cell type","8084"
"8757","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8120/2","Transitional cell carcinoma in situ","8120"
"8758","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8120/3","Transitional cell carcinoma, NOS","8120"
"8759","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8121/3","Schneiderian carcinoma","8121"
"8760","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8122/3","Trans. cell carcinoma, spindle cell","8122"
"8761","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8123/3","Basaloid carcinoma","8123"
"8762","C694","EYEBALL",812,"TRANSITIONAL CELL CARCINOMA, NOS","8124/3","Cloacogenic carcinoma","8124"
"8763","C694","EYEBALL",813,"PAPILLARY TRANS. CELL CARCINOMA","8130/2","Papillary trans. cell carcinoma, non-invasive","8130"
"8764","C694","EYEBALL",813,"PAPILLARY TRANS. CELL CARCINOMA","8130/3","Papillary trans. cell carcinoma","8130"
"8765","C694","EYEBALL",813,"PAPILLARY TRANS. CELL CARCINOMA","8131/3","Transitional cell carcinoma, micropapillary","8131"
"8766","C694","EYEBALL",814,"ADENOCARCINOMA, NOS","8140/2","Adenocarcinoma in situ","8140"
"8767","C694","EYEBALL",814,"ADENOCARCINOMA, NOS","8140/3","Adenocarcinoma, NOS","8140"
"8768","C694","EYEBALL",814,"ADENOCARCINOMA, NOS","8141/3","Scirrhous adenocarcinoma","8141"
"8769","C694","EYEBALL",814,"ADENOCARCINOMA, NOS","8143/3","Superficial spreading adenocarcinoma","8143"
"8770","C694","EYEBALL",814,"ADENOCARCINOMA, NOS","8147/3","Basal cell adenocarcinoma","8147"
"8771","C694","EYEBALL",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8200/3","Adenoid cystic carcinoma","8200"
"8772","C694","EYEBALL",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/2","Cribriform carcinoma in situ","8201"
"8773","C694","EYEBALL",820,"ADENOID CYSTIC & CRIBRIFORM CA.","8201/3","Cribriform carcinoma","8201"
"8774","C694","EYEBALL",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"8775","C694","EYEBALL",829,"OXYPHILIC ADENOCARCINOMA","8290/3","Oxyphilic adenocarcinoma","8290"
"8776","C694","EYEBALL",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"8777","C694","EYEBALL",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"8778","C694","EYEBALL",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"8779","C694","EYEBALL",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"8780","C694","EYEBALL",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"8781","C694","EYEBALL",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"8782","C694","EYEBALL",873,"AMELANOTIC MELANOMA","8730/3","Amelanotic melanoma","8730"
"8783","C694","EYEBALL",874,"MAL. MEL. IN JUNCT. NEVUS","8743/3","Superficial spreading melanoma","8743"
"8784","C694","EYEBALL",874,"MAL. MEL. IN JUNCT. NEVUS","8745/3","Desmoplastic melanoma, malignant","8745"
"8785","C694","EYEBALL",874,"MAL. MEL. IN JUNCT. NEVUS","8746/3","Mucosal lentiginous melanoma","8746"
"8786","C694","EYEBALL",877,"EPITHELIOID CELL MELANOMA","8770/3","Mixed epithel. & spindle cell melanoma","8770"
"8787","C694","EYEBALL",877,"EPITHELIOID CELL MELANOMA","8771/3","Epithelioid cell melanoma","8771"
"8788","C694","EYEBALL",877,"EPITHELIOID CELL MELANOMA","8772/3","Spindle cell melanoma, NOS","8772"
"8789","C694","EYEBALL",877,"EPITHELIOID CELL MELANOMA","8773/3","Spindle cell melanoma, type A","8773"
"8790","C694","EYEBALL",877,"EPITHELIOID CELL MELANOMA","8774/3","Spindle cell melanoma, type B","8774"
"8791","C694","EYEBALL",881,"FIBROMATOUS NEOPLASMS","8810/3","Fibrosarcoma, NOS","8810"
"8792","C694","EYEBALL",881,"FIBROMATOUS NEOPLASMS","8811/3","Fibromyxosarcoma","8811"
"8793","C694","EYEBALL",881,"FIBROMATOUS NEOPLASMS","8813/3","Fascial fibrosarcoma","8813"
"8794","C694","EYEBALL",881,"FIBROMATOUS NEOPLASMS","8814/3","Infantile fibrosarcoma","8814"
"8795","C694","EYEBALL",881,"FIBROMATOUS NEOPLASMS","8815/3","Solitary fibrous tumor, malignant","8815"
"8796","C694","EYEBALL",889,"MYOMATOUS NEOPLASMS","8890/3","Leiomyosarcoma, NOS","8890"
"8797","C694","EYEBALL",889,"MYOMATOUS NEOPLASMS","8891/3","Epithelioid leiomyosarcoma","8891"
"8798","C694","EYEBALL",889,"MYOMATOUS NEOPLASMS","8894/3","Angiomyosarcoma","8894"
"8799","C694","EYEBALL",889,"MYOMATOUS NEOPLASMS","8895/3","Myosarcoma","8895"
"8800","C694","EYEBALL",889,"MYOMATOUS NEOPLASMS","8896/3","Myxoid leiomyosarcoma","8896"
"8801","C694","EYEBALL",890,"RHABDOMYOSARCOMA, NOS","8900/3","Rhabdomyosarcoma, NOS","8900"
"8802","C694","EYEBALL",890,"RHABDOMYOSARCOMA, NOS","8901/3","Pleomorphic rhabdomyosarcoma, adult type","8901"
"8803","C694","EYEBALL",890,"RHABDOMYOSARCOMA, NOS","8902/3","Mixed type rhabdomyosarcoma","8902"
"8804","C694","EYEBALL",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"8805","C694","EYEBALL",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"8806","C694","EYEBALL",892,"ALVEOLAR RHABDOMYOSARCOMA","8920/3","Alveolar rhabdomyosarcoma","8920"
"8807","C694","EYEBALL",892,"ALVEOLAR RHABDOMYOSARCOMA","8921/3","Rhabdomyosarcoma with ganglionic differentiation","8921"
"8808","C694","EYEBALL",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"8809","C694","EYEBALL",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"8810","C694","EYEBALL",899,"MESENCHYMOMA, MALIGNANT","8990/3","Mesenchymoma, malignant","8990"
"8811","C694","EYEBALL",899,"MESENCHYMOMA, MALIGNANT","8991/3","Embryonal sarcoma","8991"
"8812","C694","EYEBALL",915,"HEMANGIOPERICYTOMA","9150/3","Hemangiopericytoma, malignant","9150"
"8813","C694","EYEBALL",959,"MALIGNANT LYMPHOMA, NOS","9590/3","Malignant lymphoma, NOS","9590"
"8814","C694","EYEBALL",959,"MALIGNANT LYMPHOMA, NOS","9591/3","Malignant lymphoma, non-Hodgkin","9591"
"8815","C694","EYEBALL",959,"MALIGNANT LYMPHOMA, NOS","9596/3","Composite Hodgkin and non-Hodgkin lymphoma","9596"
"8816","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9650/3","Hodgkin lymphoma, NOS","9650"
"8817","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9651/3","Hodgkin lymphoma, lymphocyte-rich","9651"
"8818","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9652/3","Hodgkin lymphoma, mixed cellularity, NOS","9652"
"8819","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9653/3","Hodgkin lymphoma, lymphocytic deplet., NOS","9653"
"8820","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9654/3","Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis","9654"
"8821","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9655/3","Hodgkin lymphoma, lymphocyt. deplet., reticular","9655"
"8822","C694","EYEBALL",965,"HODGKIN LYMPHOMA","9659/3","Hodgkin lymph., nodular lymphocyte predom.","9659"
"8823","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9661/3","Hodgkin granuloma [obs]","9661"
"8824","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9662/3","Hodgkin sarcoma [obs]","9662"
"8825","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","9663"
"8826","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9664/3","Hodgkin lymphoma, nod. scler., cellular phase","9664"
"8827","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9665/3","Hodgkin lymphoma, nod. scler., grade 1","9665"
"8828","C694","EYEBALL",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9667/3","Hodgkin lymphoma, nod. scler., grade 2","9667"
"8829","C694","EYEBALL",967,"ML, SMALL B-CELL LYMPHOCYTIC","9670/3","ML, small B lymphocytic, NOS","9670"
"8830","C694","EYEBALL",967,"ML, SMALL B-CELL LYMPHOCYTIC","9671/3","ML, lymphoplasmacytic","9671"
"8831","C694","EYEBALL",967,"ML, SMALL B-CELL LYMPHOCYTIC","9673/3","Mantle cell lymphoma","9673"
"8832","C694","EYEBALL",967,"ML, SMALL B-CELL LYMPHOCYTIC","9675/3","ML, mixed sm. and lg. cell, diffuse","9675"
